connection,username,name,seed_users_following_you
1238971100,overopshq,OverOps,13
274176084,naikyworld,Fred CECILIA,13
435236587,_K_E_L_S_E_Y,kelsey ᕕ( ᐛ )ᕗ,13
1675289756,codacy,Codacy,13
8758492,markhibberd,Mark Hibberd,13
460068322,PNeyens,Peter Neyens,13
222663512,seratch,Kazuhiro Sera,13
775337801839734784,scalafiddle,Scala Fiddle,13
15176657,jeremyrsmith,jeremyrsmith,13
911297187664949248,JeffDean,Jeff Dean,13
16864630,thomaswue,Thomas Wuerthinger,13
17522518,shajra,Sukant Hajra,13
60163619,ivantopo,Ivan Topolnjak,13
2468191135,purelyfunc,Purely Functional λ,13
48159875,pwendell,Patrick Wendell,13
368982167,pierangelocecc,ℙierangelo ℂecchetto,13
220145170,CompSciFact,Computer Science,13
361220914,oxnrtr,soc,13
108727060,juanpedromoreno,Juan Pedro Moreno,13
111600705,janschultecom,Jan Schulte,13
2274934645,typesafe2gether,Typesafe Together,13
1025097565434458112,kai_nyasha,Kai,13
735946480725430272,scalaexercises,Scala Exercises,12
191459309,__protected,Jonathan,12
48063062,ennru,Enno Runne,12
14060301,matthewfarwell,Matthew Farwell,12
166154241,graydon_pub,Graydon Hoare,12
24856265,miciek,Michał Płachta,12
324766896,emilyriehl,Emily Riehl,12
2777974996,jer_gib,Jeremy Gibbons,12
12087632,rafaparadela,rafa paradela,12
16902782,pdxleif,ᛚᛖᛁᚠ Warner,12
32086352,vpatryshev,Vlad Patryshev,12
258418980,BruceEckel,Bruce Eckel,12
50727534,easyangel,オレグ 🤖,12
766267395837222913,Scala_Central,Scala Central,12
137622400,przemekpokrywka,ن PrzemysławPokrywka,12
56356501,rickynils,Rickard Nilsson,12
203209274,OpenJDK,OpenJDK,12
164217471,normanmaurer,Norman Maurer,12
175624200,ID_AA_Carmack,John Carmack,12
14502222,loverdos,Christos KK Loverdos ☕,12
10000302,gideondk,Gideon de Kok,12
2494259054,ParisScalaUG,ParisScalaUG,12
404119861,OweinReese,Owein Reese,12
1159671,amarapatel,Amar Patel,12
277381461,marcinmatuszak,Marcin Matuszak,12
35743505,scalabase,Scala Bay,12
16484216,old_sound,Alvaro Videla,12
1017428432,lenadroid,Lena Hall,12
2426609737,http4s,http4s,12
386654463,nikomatsakis,Niko Matsakis,12
20753504,ctford,Chris Ford,12
183749519,paulg,Paul Graham,12
16244914,mslinn,Mike Slinn,12
57443587,lambda_ultimate,Lambda the Ultimate,12
17154727,FilippoDeLuca,Filippo De Luca,12
33836629,karpathy,Andrej Karpathy,12
326217398,AdamRMurray,Adam Murray,12
1111134668,lambdista,Alessandro Lacava,12
278108566,scalathon,Scalathon,12
15948437,spolsky,Joel Spolsky,12
790205,chadfowler,Chad Fowler,12
614873,analytically,Mathias Bogaert,12
1052449938880245760,not_xuwei_k,not Kenji Yoshida,12
18388189,jeichar,Jesse,12
15442198,ramnivas,ramnivas,12
2550140406,Scala_Dev,ScalaDev,12
833729730427940865,ScalaUA_Conf,ScalaUA Conference,12
23055196,rintcius,Rintcius Blok,12
935415799,MarkusJais,Markus Jais,12
49313109,yminsky,Yaron Minsky,12
255617445,worrydream,Bret Victor,12
18943468,justinelsberry,Justin Elsberry,12
923297105602519041,LParreaux,Lionel Parreaux,11
14375110,fogus,fogus,11
19100583,indrajitr,Indrajit Raychaudhuri,11
932677457873981446,unyagami,Jefersøn Dαvid Ossa 🏳️‍🌈,11
1543029998,Scala_es,Scala Spain,11
186747934,stefanobaghino,Stefano Baghino,11
412129029,kpciesielski,Krzysiek Ciesielski,11
22399212,youfoundryan,Ryan,11
41895002,SalarRahmanian,Salar Rahmanian,11
1819511,swannodette,David Nolen,11
15560520,mushtaqA,Mushtaq Ahmed,11
19391416,jcranky,Paulo R. C. Siqueira,11
51546468,joeerl,Joe Armstrong,11
1219628612,DrEugeniaCheng,Dr Eugenia Cheng,11
194632172,YuvalItzchakov,Yuval Itzchakov,11
14529770,gafter,Neal Gafter,11
22251772,laughedelic,Alexey Alekhin,11
1057009435,PNWScala,PNWScala,11
443201797,knight_cloud,Ryan Knight,11
195140001,laurencetratt,Laurence Tratt,11
5839352,boia01,Alex Boisvert,11
720616108907237380,progpaintings,Classic Programmers,11
2430396085,timnieradzik,Tim Nieradzik,11
16629132,samth,Sam Tobin-Hochstadt,11
2167369261,SparkAISummit,#SparkAISummit (June 22-25),11
18864191,steshaw,⚡teven ⚡haw,11
14277096,jducoeur,Mark Justin Waks,11
45456164,ochafik,Olivier Chafik,11
113610299,dwardoric,Jens Grassel,11
2916305152,Snowden,Edward Snowden,11
4398626122,OpenAI,OpenAI,11
14462827,philwills,Phil Wills,11
14490236,ignaciocases,ignacio cases,11
14375091,manub,Emanuele Blanco,11
80530885,chbatey,Christopher Batey,11
104604540,EPFL_en,EPFL,11
379347037,wednesday099,Anna Bladzich,11
390291193,blast_hardchese,Devon Stewart,11
17055506,martinkl,Martin Kleppmann 🇪🇺,11
113073137,D_Roch,Roch Delsalle,11
8261382,dcbriccetti,Dave Briccetti,11
935064484149891072,p_gawrys,Piotr Gawryś,11
3293063837,AlicePermutive,Alice Lloyd,11
12893642,donsbot,Don Stewart,11
